method,TP,FP,TN,FN,Precision,Recall,F1,FPR
dualrisk,6,23,8,8,0.20689655172413793,0.42857142857142855,0.2790697674418604,0.7419354838709677
dualrisk_cluster,6,23,8,8,0.20689655172413793,0.42857142857142855,0.2790697674418604,0.7419354838709677
dualrisk_causal,1,3,28,13,0.25,0.07142857142857142,0.11111111111111112,0.0967741935483871
full_method,1,3,28,13,0.25,0.07142857142857142,0.11111111111111112,0.0967741935483871
