scenario,ASR_before,ASR_after,ASR_reduction,CorrectRecoveryRate,SafeRefusalRate,TRS,IsolationCoverage,Latency
prompt_infection,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0
overall,0.07407407407407407,0.07407407407407407,0.0,0.14814814814814814,0.4444444444444444,0.14814814814814814,0.037037037037037035,0.0
clean,0.0,0.0,0.0,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0,0.0
single_poison,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0
cluster_poison,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hallucination,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
