metric,value
agents,90
tasks,300
evidence,1881
comm_events,4890
claims,4890
tool_calls,4890
challenges,300
consensus_groups,1180
scenario_byzantine,600
scenario_clean,1202
scenario_communication_tampering,98
scenario_evidence_poisoning,600
scenario_noisy_watch,300
scenario_stealthy_collusion,1890
scenario_strategic_attack,200
fail_I_perm,415
validation_passed,4475
validation_failed,415
